"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3378","navigate to form page @smoke","chromium","2026-01-13","passed","2026-01-13","","usePageObjects.spec.ts","",""
"","3832","parametrized methods @smoke @regression","chromium","2026-01-13","passed","2026-01-13","","usePageObjects.spec.ts","",""
